column,type,description,n_unique,n_missing,pct_missing,levels
Volume_mm3.ctx-lh-precuneus,numeric,Volume (mm³) of region: ctx-lh-precuneus,272,0,0,
Volume_mm3.ctx-lh-rostralanteriorcingulate,numeric,Volume (mm³) of region: ctx-lh-rostralanteriorcingulate,227,0,0,
Volume_mm3.ctx-lh-rostralmiddlefrontal,numeric,Volume (mm³) of region: ctx-lh-rostralmiddlefrontal,278,0,0,
Volume_mm3.ctx-lh-superiorfrontal,numeric,Volume (mm³) of region: ctx-lh-superiorfrontal,283,0,0,
Volume_mm3.ctx-lh-superiorparietal,numeric,Volume (mm³) of region: ctx-lh-superiorparietal,278,0,0,
Volume_mm3.ctx-lh-superiortemporal,numeric,Volume (mm³) of region: ctx-lh-superiortemporal,274,0,0,
Volume_mm3.ctx-lh-supramarginal,numeric,Volume (mm³) of region: ctx-lh-supramarginal,274,0,0,
Volume_mm3.ctx-lh-temporalpole,numeric,Volume (mm³) of region: ctx-lh-temporalpole,221,0,0,
Volume_mm3.ctx-lh-transversetemporal,numeric,Volume (mm³) of region: ctx-lh-transversetemporal,167,0,0,
Volume_mm3.ctx-lh-unknown,numeric,Volume (mm³) of region: ctx-lh-unknown,1,302,99.67,
Volume_mm3.ctx-rh-bankssts,numeric,Volume (mm³) of region: ctx-rh-bankssts,213,0,0,
Volume_mm3.ctx-rh-caudalanteriorcingulate,numeric,Volume (mm³) of region: ctx-rh-caudalanteriorcingulate,217,0,0,
Volume_mm3.ctx-rh-caudalmiddlefrontal,numeric,Volume (mm³) of region: ctx-rh-caudalmiddlefrontal,263,0,0,
Volume_mm3.ctx-rh-cuneus,numeric,Volume (mm³) of region: ctx-rh-cuneus,236,0,0,
Volume_mm3.ctx-rh-entorhinal,numeric,Volume (mm³) of region: ctx-rh-entorhinal,223,0,0,
Volume_mm3.ctx-rh-frontalpole,numeric,Volume (mm³) of region: ctx-rh-frontalpole,159,0,0,
Volume_mm3.ctx-rh-fusiform,numeric,Volume (mm³) of region: ctx-rh-fusiform,269,0,0,
Volume_mm3.ctx-rh-inferiorparietal,numeric,Volume (mm³) of region: ctx-rh-inferiorparietal,284,0,0,
Volume_mm3.ctx-rh-inferiortemporal,numeric,Volume (mm³) of region: ctx-rh-inferiortemporal,264,0,0,
Volume_mm3.ctx-rh-insula,numeric,Volume (mm³) of region: ctx-rh-insula,254,0,0,
Volume_mm3.ctx-rh-isthmuscingulate,numeric,Volume (mm³) of region: ctx-rh-isthmuscingulate,208,0,0,
Volume_mm3.ctx-rh-lateraloccipital,numeric,Volume (mm³) of region: ctx-rh-lateraloccipital,280,0,0,
Volume_mm3.ctx-rh-lateralorbitofrontal,numeric,Volume (mm³) of region: ctx-rh-lateralorbitofrontal,256,0,0,
Volume_mm3.ctx-rh-lingual,numeric,Volume (mm³) of region: ctx-rh-lingual,261,0,0,
Volume_mm3.ctx-rh-medialorbitofrontal,numeric,Volume (mm³) of region: ctx-rh-medialorbitofrontal,241,0,0,
Volume_mm3.ctx-rh-middletemporal,numeric,Volume (mm³) of region: ctx-rh-middletemporal,273,0,0,
Volume_mm3.ctx-rh-paracentral,numeric,Volume (mm³) of region: ctx-rh-paracentral,235,0,0,
Volume_mm3.ctx-rh-parahippocampal,numeric,Volume (mm³) of region: ctx-rh-parahippocampal,184,0,0,
Volume_mm3.ctx-rh-parsopercularis,numeric,Volume (mm³) of region: ctx-rh-parsopercularis,227,0,0,
Volume_mm3.ctx-rh-parsorbitalis,numeric,Volume (mm³) of region: ctx-rh-parsorbitalis,208,0,0,
Volume_mm3.ctx-rh-parstriangularis,numeric,Volume (mm³) of region: ctx-rh-parstriangularis,237,0,0,
Volume_mm3.ctx-rh-pericalcarine,numeric,Volume (mm³) of region: ctx-rh-pericalcarine,227,0,0,
Volume_mm3.ctx-rh-postcentral,numeric,Volume (mm³) of region: ctx-rh-postcentral,264,0,0,
Volume_mm3.ctx-rh-posteriorcingulate,numeric,Volume (mm³) of region: ctx-rh-posteriorcingulate,209,0,0,
Volume_mm3.ctx-rh-precentral,numeric,Volume (mm³) of region: ctx-rh-precentral,273,0,0,
Volume_mm3.ctx-rh-precuneus,numeric,Volume (mm³) of region: ctx-rh-precuneus,266,0,0,
Volume_mm3.ctx-rh-rostralanteriorcingulate,numeric,Volume (mm³) of region: ctx-rh-rostralanteriorcingulate,223,0,0,
Volume_mm3.ctx-rh-rostralmiddlefrontal,numeric,Volume (mm³) of region: ctx-rh-rostralmiddlefrontal,285,0,0,
Volume_mm3.ctx-rh-superiorfrontal,numeric,Volume (mm³) of region: ctx-rh-superiorfrontal,282,0,0,
Volume_mm3.ctx-rh-superiorparietal,numeric,Volume (mm³) of region: ctx-rh-superiorparietal,278,0,0,
Volume_mm3.ctx-rh-superiortemporal,numeric,Volume (mm³) of region: ctx-rh-superiortemporal,271,0,0,
Volume_mm3.ctx-rh-supramarginal,numeric,Volume (mm³) of region: ctx-rh-supramarginal,274,0,0,
Volume_mm3.ctx-rh-temporalpole,numeric,Volume (mm³) of region: ctx-rh-temporalpole,226,0,0,
Volume_mm3.ctx-rh-transversetemporal,numeric,Volume (mm³) of region: ctx-rh-transversetemporal,144,0,0,
Volume_mm3.ctx-rh-unknown,numeric,Volume (mm³) of region: ctx-rh-unknown,1,302,99.67,
Volume_mm3.non-WM-hypointensities,numeric,Volume (mm³) of region: non-WM-hypointensities,7,285,94.06,
